🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
2025-02-04 22:15:51.146072: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1738707351.166363   22412 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1738707351.177197   22412 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-02-04 22:15:51.199277: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.1.8: Fast Mistral patching. Transformers: 4.47.1.
   \\   /|    GPU: Tesla T4. Max memory: 14.741 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.5.1+cu124. CUDA: 7.5. CUDA Toolkit: 12.4. Triton: 3.1.0
\        /    Bfloat16 = FALSE. FA [Xformers = 0.0.29.post1. FA2 = False]
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Unsloth 2025.1.8 patched 32 layers with 32 QKV layers, 32 O layers and 32 MLP layers.
GPU = Tesla T4. Max memory = 14.74127197265625 GB.
2.201 GB of memory reserved.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 957 | Num Epochs = 1
O^O/ \_/ \    Batch size per device = 2 | Gradient Accumulation steps = 4
\        /    Total batch size = 8 | Total steps = 119
 "-____-"     Number of trainable parameters = 7,471,104
{'loss': 0.0893, 'grad_norm': 0.11354836821556091, 'learning_rate': 0.0001017543859649123, 'epoch': 0.57}
{'loss': 0.072, 'grad_norm': 0.10225126147270203, 'learning_rate': 0.0001, 'epoch': 0.58}
{'loss': 0.0718, 'grad_norm': 0.09316399693489075, 'learning_rate': 9.824561403508771e-05, 'epoch': 0.58}
{'loss': 0.0492, 'grad_norm': 0.07022073119878769, 'learning_rate': 9.649122807017544e-05, 'epoch': 0.59}
{'loss': 0.0667, 'grad_norm': 0.12112560123205185, 'learning_rate': 9.473684210526316e-05, 'epoch': 0.6}
{'loss': 0.0847, 'grad_norm': 0.11196810007095337, 'learning_rate': 9.298245614035089e-05, 'epoch': 0.61}
{'loss': 0.0544, 'grad_norm': 0.0992450937628746, 'learning_rate': 9.12280701754386e-05, 'epoch': 0.62}
{'loss': 0.0645, 'grad_norm': 0.15561076998710632, 'learning_rate': 8.947368421052632e-05, 'epoch': 0.63}
{'loss': 0.0621, 'grad_norm': 0.24675704538822174, 'learning_rate': 8.771929824561403e-05, 'epoch': 0.63}
{'loss': 0.0657, 'grad_norm': 0.07954604178667068, 'learning_rate': 8.596491228070177e-05, 'epoch': 0.64}
{'loss': 0.0635, 'grad_norm': 0.06478973478078842, 'learning_rate': 8.421052631578948e-05, 'epoch': 0.65}
{'loss': 0.0888, 'grad_norm': 0.08719577640295029, 'learning_rate': 8.24561403508772e-05, 'epoch': 0.66}
{'loss': 0.0486, 'grad_norm': 0.05636832118034363, 'learning_rate': 8.070175438596491e-05, 'epoch': 0.67}
{'loss': 0.0672, 'grad_norm': 0.07565080374479294, 'learning_rate': 7.894736842105263e-05, 'epoch': 0.68}
{'loss': 0.0584, 'grad_norm': 0.05463382974267006, 'learning_rate': 7.719298245614036e-05, 'epoch': 0.68}
{'loss': 0.0376, 'grad_norm': 0.05979913845658302, 'learning_rate': 7.543859649122808e-05, 'epoch': 0.69}
{'loss': 0.0626, 'grad_norm': 0.052742037922143936, 'learning_rate': 7.368421052631579e-05, 'epoch': 0.7}
{'loss': 0.06, 'grad_norm': 0.05367782339453697, 'learning_rate': 7.192982456140351e-05, 'epoch': 0.71}
{'loss': 0.0513, 'grad_norm': 0.05687597766518593, 'learning_rate': 7.017543859649122e-05, 'epoch': 0.72}
{'loss': 0.0674, 'grad_norm': 0.05616208538413048, 'learning_rate': 6.842105263157895e-05, 'epoch': 0.73}
{'loss': 0.054, 'grad_norm': 0.05538776144385338, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.73}
{'loss': 0.0457, 'grad_norm': 0.04910352826118469, 'learning_rate': 6.49122807017544e-05, 'epoch': 0.74}
{'loss': 0.06, 'grad_norm': 0.05090014263987541, 'learning_rate': 6.31578947368421e-05, 'epoch': 0.75}
{'loss': 0.0468, 'grad_norm': 0.05263384431600571, 'learning_rate': 6.140350877192983e-05, 'epoch': 0.76}
{'loss': 0.0625, 'grad_norm': 0.053081829100847244, 'learning_rate': 5.9649122807017544e-05, 'epoch': 0.77}
{'loss': 0.0644, 'grad_norm': 0.05493847653269768, 'learning_rate': 5.789473684210527e-05, 'epoch': 0.78}
{'loss': 0.0472, 'grad_norm': 0.0578780397772789, 'learning_rate': 5.6140350877192984e-05, 'epoch': 0.78}
{'loss': 0.0543, 'grad_norm': 0.049302179366350174, 'learning_rate': 5.438596491228071e-05, 'epoch': 0.79}
{'loss': 0.0671, 'grad_norm': 0.0558825321495533, 'learning_rate': 5.2631578947368424e-05, 'epoch': 0.8}
{'loss': 0.0565, 'grad_norm': 0.04838567227125168, 'learning_rate': 5.087719298245615e-05, 'epoch': 0.81}
{'loss': 0.0601, 'grad_norm': 0.06180839613080025, 'learning_rate': 4.912280701754386e-05, 'epoch': 0.82}
{'loss': 0.0553, 'grad_norm': 0.04868892952799797, 'learning_rate': 4.736842105263158e-05, 'epoch': 0.83}
{'loss': 0.0695, 'grad_norm': 0.053086064755916595, 'learning_rate': 4.56140350877193e-05, 'epoch': 0.84}
{'loss': 0.0626, 'grad_norm': 0.058295950293540955, 'learning_rate': 4.3859649122807014e-05, 'epoch': 0.84}
{'loss': 0.0563, 'grad_norm': 0.05244799703359604, 'learning_rate': 4.210526315789474e-05, 'epoch': 0.85}
{'loss': 0.0465, 'grad_norm': 0.0544673316180706, 'learning_rate': 4.0350877192982455e-05, 'epoch': 0.86}
{'loss': 0.044, 'grad_norm': 0.051354922354221344, 'learning_rate': 3.859649122807018e-05, 'epoch': 0.87}
{'loss': 0.0437, 'grad_norm': 0.05762346461415291, 'learning_rate': 3.6842105263157895e-05, 'epoch': 0.88}
{'loss': 0.0484, 'grad_norm': 0.04966531693935394, 'learning_rate': 3.508771929824561e-05, 'epoch': 0.89}
{'loss': 0.042, 'grad_norm': 0.05306636542081833, 'learning_rate': 3.3333333333333335e-05, 'epoch': 0.89}
{'loss': 0.0459, 'grad_norm': 0.05422637611627579, 'learning_rate': 3.157894736842105e-05, 'epoch': 0.9}
{'loss': 0.0607, 'grad_norm': 0.059844695031642914, 'learning_rate': 2.9824561403508772e-05, 'epoch': 0.91}
{'loss': 0.0534, 'grad_norm': 0.05660431087017059, 'learning_rate': 2.8070175438596492e-05, 'epoch': 0.92}
{'loss': 0.0651, 'grad_norm': 0.05952261760830879, 'learning_rate': 2.6315789473684212e-05, 'epoch': 0.93}
{'loss': 0.0538, 'grad_norm': 0.054096709936857224, 'learning_rate': 2.456140350877193e-05, 'epoch': 0.94}
{'loss': 0.0608, 'grad_norm': 0.06049404293298721, 'learning_rate': 2.280701754385965e-05, 'epoch': 0.94}
{'loss': 0.0539, 'grad_norm': 0.056456200778484344, 'learning_rate': 2.105263157894737e-05, 'epoch': 0.95}
{'loss': 0.0553, 'grad_norm': 0.05558537319302559, 'learning_rate': 1.929824561403509e-05, 'epoch': 0.96}
{'loss': 0.0509, 'grad_norm': 0.05749940499663353, 'learning_rate': 1.7543859649122806e-05, 'epoch': 0.97}
{'loss': 0.0477, 'grad_norm': 0.056827470660209656, 'learning_rate': 1.5789473684210526e-05, 'epoch': 0.98}
{'loss': 0.059, 'grad_norm': 0.05769280344247818, 'learning_rate': 1.4035087719298246e-05, 'epoch': 0.99}
{'loss': 0.0452, 'grad_norm': 0.0573805570602417, 'learning_rate': 1.2280701754385964e-05, 'epoch': 0.99}
{'train_runtime': 2547.7383, 'train_samples_per_second': 0.376, 'train_steps_per_second': 0.047, 'train_loss': 1.072136324431215, 'epoch': 0.99}
100% 119/119 [42:27<00:00, 21.41s/it]
Training runtime: 42.46 minutes
Training memory: 0.846 GB
